COUNTRY,COAL MINE
China,Jungar Banner Zhuozheng Coal Mine
China,Inner Mongolia Otog Banner Chenguang Coal Mine
China,Inner Mongolia Otog Banner Dongchen Coal Mine
China,Inner Mongolia Otog Banner Jinou Coal Mine
China,Inner Mongolia Baofeng Coal Mine
China,Inner Mongolia Otog Banner Xinsheng Coal Mine
China,Inner Mongolia Huawu Coal Mine
China,Inner Mongolia Ejin Horo Banner Changqing Coal Mine
China,Inner Mongolia Ejin Horo Banner Huanengjing Coal Mine
China,Inner Mongolia Tongfu Coal Mine
China,Inner Mongolia Otog Bannerr Xinya Coal Mine
China,Inner Mongolia Otog Banner Bayin Wusu Coal Mine
China,Inner Mongolia Ordos Jinbang Coal Mine
China,Inner Mongolia Baocheng Coal Mine
China,Inner Mongolia Dalat Banner Hanggaigou Coal Mine
China,Inner Mongolia Otog Banner Dongchen Huitong Coal Mine
China,Inner Mongolia Yanjiata Coal Mine
China,Inner Mongolia Xingwang Coal Mine
China,Inner Mongolia Tumut Right Banner Santian Coal Mine
China,Inner Mongolia Jintai Chuanhong Coal Mine
China,Inner Mongolia Tiandi Xilin Coal Mine
China,Inner Mongolia East Ujimqin Banner Amuguleng
China,Inner Mongolia Wuhai Tongda Coal Mine
China,Inner Mongolia Jungar Banner Zhongxing Coal Mine
China,Inner Mongolia Hulunbuir Yaxing  Coal Mine
China,Inner Mongolia Otog Banner Maogetu Coal Mine
China,Xinjiang Baicheng Surahema Coal Mine
China,Liaoning Meihekou Coal Mine
China,Yunnan Shizong Chaoyang Coal Mine No.1 Shaft
China,Shanxi Yongxing Surface Coal Mine
China,Xinjiang Jiangjun Gebi No. 1 Coal Mine
China,Xinjiang Hongshaquan No. 2 Surface Mine
China,Xinjiang Kumtag Mining Area No. 1 Surface Coal Mine
China,Xinjiang Yitai Yili Coal Mine
China,Xinjiang Sha'erhu Mining Area No. 9 Surface Coal Mine
China,Xinjiang Sha'erhu Mining Area No. 5 Surface Coal Mine
China,Xinjiang Sha'erhu Mining Area No. 2 Surface Coal Mine
China,Xinjiang Chahaquan No. 1 Surface Coal Mine
China,Xinjiang Wucaiwan No. 4 Surface Coal Mine
China,Inner Mongolia Wulanqu Surface Coal Mine
China,Guizhou Yangshan Coal Mine Surface Project
China,Guizhou Dawan Coal Mine c
China,Guizhou Mayidong No.1 Coal Mine Surface Project
China,Guizhou Huangjiashan Surface Coal Mine
China,Yunnan Longtantian Coal Mine
China,Shaanxi Dong'an Coal Mine
China,Ningxia Liujiagouwan Coal Mine (Surface Part)
China,Xinjiang Muchang Surface Coal Mine
USA,#1 Strip Mine
USA,#57 Miner Coal Mine
USA,3139 Coal Mine
USA,3163 Coal Mine
USA,3165 Coal Mine
USA,A W Long Coal Mine
USA,A23 Job 58 Coal Mine
USA,A24 Coal Mine
USA,ADC Pit 008 Coal Mine
USA,Addcar System 18 HWM Coal Mine
USA,Addcar System 40 HWM Coal Mine
USA,Advanced Restoration Technologies -1 Coal Mine
USA,AHM Coal Mac Mine #1
USA,Airport Surface Mine
USA,Aldridge Coal Mine
USA,Alum Cave 17 Coal Mine
USA,Ancient Sun Strip Saylor-McKinney Mine
USA,Antioch Coal Mine
USA,Auger #1 Coal Mine
USA,Auger #2 Coal Mine
USA,Auger 11 Coal Mine
USA,Auger 3152 Coal Mine
USA,Auger A-1 Coal Mine
USA,Auger No. 2 Coal Mine
USA,Auger No. 29 Coal Mine
USA,Baden 1 Mine
USA,Bailey Creek Mine
USA,BAM 3 Auger Coal Mine
USA,BAM 7 Auger Coal Mine
USA,BCR Coal Mine #1
USA,Beachley Strip Mine
USA,Beech Creek Surface Mine #2
USA,Bell Resources Mine
USA,Bent Mountain Surface Mine #2
USA,Bevins Branch Surface Mine
USA,Big D 3 Coal Mine
USA,Big Pine Mine
USA,Blue Knob Surface Mine
USA,Boone North No. 1 Surface Coal Mine
USA,Brakefield 1 Mine
USA,Buckingham Surface Coal Mine
USA,CCU Tuscarawas Strip Mine
USA,CE#2 Surface Mine
USA,CE#3 Coal Mine
USA,Charger Mine East
USA,CHM 48 Coal Mine
USA,Coal Mountain No 1 Surface Mine
USA,Cobra No.1 Coal Mine
USA,Condor Coal Mine
USA,Corbet South Mine
USA,Craighead Mine
USA,Cranks Creek Coal Mine
USA,CV#37 Auger Miner
USA,CV#4 Surface Mine
USA,CV30 Mine
USA,Deerlick West Mine
USA,Driscoll Hollow Mine
USA,Dutton Hill Mine No. 2
USA,Eagle Surface Mine
USA,East Mac & Nellie Mine
USA,Edwight Surface Mine
USA,Elk Creek Surface Mine
USA,Fay Penn 1 Mine
USA,Fedscreek Surface Mine
USA,Ferko Strip Mine
USA,Fieg Bros Coal Mine
USA,Flint Hill Mine
USA,Four Mile Mine
USA,Gemini Surface Mine
USA,Highwall Miner 1 Mine
USA,Highwall Miner 2
USA,Hominy 2 Surface Mine
USA,Hominy 1 Surface Mine
USA,Hoover Job Mine
USA,Horton Strips Mine
USA,Huffman Fk. Mine
USA,HWM 73 Coal Mine
USA,HWM 58 Coal Mine
USA,Hyden Development East 1 Mine
USA,Island Creek 1 Mine
USA,Jeffrey HWM Mine
USA,Job #58 Mine
USA,Joes Run Auger No. 26
USA,John Poe Coal Mine
USA,Joshua Coal Mine
USA,Josie No. 3 Mine
USA,K & A Strips Mine
USA,K-7 Coal Mine
USA,Kasubick 4 Mine
USA,Kellar 2 Mine
USA,Kellar 3 Mine
USA,King 1 Coal Mine
